[2022-02-07 06:53:02,632] INFO       Loading Config Data
[2022-02-07 06:53:03,364] WARNING    WARNING: logger was setup already, deleting all previously existing handlers
[2022-02-07 06:54:06,632] DEBUG      Using WinAPI to search for window under D2R.exe process
[2022-02-07 06:54:06,634] DEBUG      Set offsets: left 637px, top 225px
[2022-02-07 06:54:10,108] INFO       Start health monitoring
[2022-02-07 06:54:10,109] INFO       Start Death monitoring
[2022-02-07 06:54:10,407] INFO       Setting up Hammerdin
[2022-02-07 06:54:10,412] INFO       Doing runs: odict_keys(['run_trav'])
[2022-02-07 06:54:10,414] INFO       Starting game #1
[2022-02-07 06:54:10,415] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:54:11,363] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:54:11,363] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 06:54:11,392] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:54:11,393] DEBUG      Wait for Play button
[2022-02-07 06:54:11,408] DEBUG      Found Play Btn
[2022-02-07 06:54:11,932] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 06:54:11,998] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 06:54:14,591] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:54:23,171] DEBUG      Found Match: A3_TOWN_1 (80.5% confidence)
[2022-02-07 06:54:25,296] DEBUG      Waiting for templates: ['ITEM_PICKUP_ENABLED', 'ITEM_PICKUP_DISABLED']
[2022-02-07 06:54:28,349] DEBUG      Could not find any of the above templates
[2022-02-07 06:54:28,350] ERROR      Failed to detect if /nopickup command was applied or not
[2022-02-07 06:54:28,351] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 06:54:29,094] DEBUG      Will pickup: {'rejuv': 0, 'health': 1, 'mana': 1}
[2022-02-07 06:54:29,158] INFO       Run Trav
[2022-02-07 06:54:29,158] DEBUG      Traverse from a3_town_start to a3_stash_wp
[2022-02-07 06:54:37,142] DEBUG      Select A3_WP (92.2% confidence)
[2022-02-07 06:54:42,118] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 06:54:42,203] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 06:54:42,409] INFO       Health Manager is now active
[2022-02-07 06:54:44,960] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 06:54:53,727] DEBUG      Pather: taking a random guess towards (365, -13)
[2022-02-07 06:54:56,426] DEBUG      Traverse: [228, 229]
[2022-02-07 06:55:06,323] DEBUG      Drink health potion in slot 1. HP: 79.8%, Mana: 63.4%
[2022-02-07 06:55:09,826] DEBUG      Drink mana potion in slot 3. HP: 78.2%, Mana: 49.4%
[2022-02-07 06:55:09,976] DEBUG      Drink health potion in slot 1. HP: 77.8%, Mana: 49.2%
[2022-02-07 06:55:14,247] DEBUG      Drink health potion in slot 1. HP: 77.9%, Mana: 92.6%
[2022-02-07 06:55:19,492] DEBUG      Took a screenshot of current loot
[2022-02-07 06:55:24,700] DEBUG      Traverse: [230]
[2022-02-07 06:55:25,223] DEBUG      Drink health potion in slot 1. HP: 57.1%, Mana: 99.7%
[2022-02-07 06:55:26,411] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:55:26,428] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-07 06:55:28,910] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:55:31,152] INFO       End game. Elapsed time: 80.74s
[2022-02-07 06:55:31,374] INFO       Starting game #2
